State,Avg_Daily_Distance_(km),Brand,Model,Price_INR,Year_of_Manufacture,Engine_Capacity_cc,Fuel_Type,Mileage_km_per_l,Owner_Type,Registration_Year,Insurance_Status,Seller_Type,Resale_Price_INR,City_Tier
karnataka,68.84,royal enfield,hunter 350,252816,2021,672,electric,78.41,second,2024,active,individual,149934.18,tier 3
rajasthan,23.8,bajaj,dominar 400,131100,2020,769,hybrid,89.98,third,2023,active,individual,66960.3,tier 3
madhya pradesh,27.67,ktm,125 duke,201016,2020,216,hybrid,71.46,second,2023,active,dealer,141522.64,tier 3
karnataka,62.85,kawasaki,ninja 300,132482,2021,556,petrol,51.73,third,2021,active,dealer,56057.22,tier 1
madhya pradesh,10.62,yamaha,fz v3,231796,2019,298,petrol,54.72,third,2019,not available,individual,132538.36,tier 3
maharashtra,47.71,hero,splendor plus,60839,2019,386,electric,92.08,first,2019,not available,dealer,47466.45,tier 3
maharashtra,77.95,royal enfield,meteor 350,349740,2022,970,petrol,58.28,first,2022,expired,individual,175038.79,metro
tamil nadu,11.57,kawasaki,vulcan s,193781,2019,375,electric,61.48,second,2022,expired,dealer,96676.39,tier 3
punjab,78.63,ktm,390 adventure,145538,2022,330,electric,89.76,second,2023,active,dealer,103908.96,tier 2
rajasthan,22.94,hero,hf deluxe,227055,2024,626,hybrid,68.13,third,2024,active,individual,146320.5,tier 3
karnataka,24.14,tvs,jupiter,145061,2024,353,petrol,28.08,first,2024,not available,individual,83042.09,tier 2
gujarat,19.0,kawasaki,vulcan s,283629,2019,621,petrol,35.62,first,2019,expired,dealer,180614.03,tier 1
uttar pradesh,38.38,kawasaki,z650,323882,2015,674,petrol,26.99,first,2015,expired,dealer,235841.3,tier 3
karnataka,31.41,yamaha,fascino 125,313211,2017,241,electric,78.78,second,2019,expired,dealer,139468.03,tier 2
madhya pradesh,39.71,hero,xtreme 160r,165864,2024,774,electric,86.22,first,2024,not available,individual,118831.51,tier 1
gujarat,46.96,kawasaki,ninja 300,106943,2019,980,petrol,56.58,first,2019,expired,individual,72475.12,tier 3
delhi,13.65,hero,xtreme 160r,373959,2020,733,petrol,29.27,first,2020,active,dealer,249938.95,tier 3
uttar pradesh,53.78,royal enfield,hunter 350,288878,2020,659,petrol,26.89,third,2020,expired,individual,123383.54,metro
rajasthan,21.42,kawasaki,versys 650,287349,2018,665,hybrid,62.43,first,2018,active,individual,137540.87,tier 2
west bengal,50.28,hero,glamour,159188,2017,441,electric,71.8,third,2018,active,dealer,74810.24,tier 3
punjab,25.39,yamaha,mt-15,233599,2021,959,hybrid,78.59,second,2021,expired,dealer,116719.31,tier 3
madhya pradesh,28.45,bajaj,dominar 400,124572,2015,177,electric,93.33,third,2015,not available,dealer,80786.82,metro
punjab,55.57,hero,hf deluxe,305977,2017,261,hybrid,94.67,second,2023,active,dealer,172445.74,metro
punjab,73.15,kawasaki,versys 650,343743,2019,227,hybrid,88.98,third,2020,not available,dealer,207103.09,tier 3
delhi,10.94,kawasaki,versys 650,348864,2021,833,petrol,41.28,second,2021,not available,dealer,156687.31,tier 2
gujarat,17.06,kawasaki,ninja 300,276161,2015,880,electric,78.25,second,2019,not available,individual,145292.42,metro
maharashtra,37.17,honda,activa,194846,2016,243,hybrid,71.6,third,2018,expired,dealer,111451.3,tier 1
west bengal,12.26,yamaha,ray zr,296387,2016,728,electric,73.21,first,2016,active,dealer,150350.99,tier 1
karnataka,25.34,royal enfield,hunter 350,263389,2023,976,petrol,45.81,first,2023,not available,dealer,181145.09,tier 3
delhi,51.69,bajaj,dominar 400,390158,2018,620,petrol,29.77,first,2018,active,individual,274058.16,metro
madhya pradesh,78.17,yamaha,fascino 125,124319,2021,370,petrol,33.15,third,2022,not available,dealer,57652.94,tier 3
rajasthan,33.03,bajaj,avenger 220,301300,2019,202,electric,97.13,third,2024,active,individual,196062.13,tier 1
delhi,72.94,hero,passion pro,93080,2019,829,hybrid,99.48,second,2020,active,dealer,67381.9,metro
karnataka,29.17,yamaha,fz v3,269787,2022,646,electric,95.65,second,2023,not available,individual,173078.76,metro
madhya pradesh,45.65,hero,hf deluxe,143467,2023,151,petrol,31.09,second,2023,expired,individual,101240.49,tier 2
uttar pradesh,33.98,tvs,ntorq 125,96480,2017,648,hybrid,77.42,second,2021,not available,dealer,56022.88,metro
tamil nadu,18.12,yamaha,r15 v4,367986,2020,248,electric,83.93,second,2021,active,dealer,273519.68,tier 2
gujarat,17.48,kawasaki,vulcan s,177033,2019,482,petrol,58.35,third,2024,active,individual,131406.64,tier 1
rajasthan,25.74,tvs,jupiter,218145,2016,643,hybrid,65.22,second,2023,expired,individual,161974.1,tier 2
rajasthan,79.18,tvs,ntorq 125,133793,2015,507,electric,77.83,first,2015,expired,individual,73437.25,tier 1
uttar pradesh,64.42,yamaha,ray zr,292817,2021,828,electric,70.73,first,2021,expired,individual,149668.49,tier 3
west bengal,29.76,hero,glamour,74456,2017,531,petrol,25.56,third,2023,active,dealer,56908.93,tier 2
punjab,42.6,honda,unicorn,355891,2020,687,hybrid,93.85,first,2020,expired,individual,158365.89,tier 1
tamil nadu,74.11,tvs,ntorq 125,257193,2019,434,petrol,59.84,second,2019,expired,dealer,179381.6,metro
rajasthan,79.0,ktm,390 adventure,71253,2020,652,hybrid,63.97,third,2022,active,dealer,42173.59,metro
punjab,67.67,tvs,ronin,133844,2024,617,electric,63.25,third,2024,not available,dealer,66018.44,tier 1
gujarat,32.57,bajaj,platina 110,95632,2024,710,electric,99.24,second,2024,not available,individual,42720.82,tier 3
maharashtra,32.87,bajaj,pulsar 150,191773,2023,828,hybrid,98.66,first,2023,expired,individual,140421.62,tier 1
maharashtra,62.48,tvs,ronin,147474,2023,755,electric,78.21,second,2024,active,individual,105865.07,tier 2
uttar pradesh,41.44,yamaha,r15 v4,300933,2021,696,hybrid,65.1,first,2021,expired,dealer,225273.11,metro
gujarat,52.31,tvs,ntorq 125,99895,2016,893,petrol,26.33,first,2016,not available,dealer,47375.0,tier 1
west bengal,28.27,ktm,duke 200,217205,2019,270,hybrid,64.06,second,2021,not available,dealer,141079.28,tier 3
uttar pradesh,75.79,honda,shine,233723,2016,660,petrol,57.14,second,2017,active,dealer,129260.78,tier 3
gujarat,46.83,royal enfield,meteor 350,83677,2018,210,petrol,26.01,second,2023,not available,dealer,53718.48,tier 2
tamil nadu,41.97,royal enfield,classic 350,261848,2016,637,hybrid,99.08,second,2016,not available,dealer,106199.5,tier 1
uttar pradesh,52.27,kawasaki,versys 650,57231,2015,435,hybrid,93.59,second,2021,expired,dealer,43829.89,tier 1
uttar pradesh,47.4,royal enfield,meteor 350,185536,2017,313,electric,96.56,second,2017,not available,individual,90338.15,tier 2
madhya pradesh,52.29,yamaha,r15 v4,91984,2019,526,hybrid,80.39,third,2020,expired,individual,37749.25,metro
delhi,45.11,honda,dio,82114,2023,541,petrol,36.83,third,2023,expired,individual,33757.75,tier 1
gujarat,40.19,tvs,sport,214316,2023,893,hybrid,67.88,third,2023,active,dealer,161265.41,tier 3
uttar pradesh,17.75,kawasaki,ninja 400,194396,2021,268,petrol,49.4,first,2021,not available,individual,111751.02,tier 2
maharashtra,24.39,tvs,apache rtr 160,398017,2015,510,hybrid,86.93,second,2018,active,dealer,208424.27,tier 3
tamil nadu,5.01,honda,shine,252763,2019,235,petrol,58.71,third,2022,not available,dealer,191177.64,tier 1
rajasthan,13.83,tvs,sport,105989,2024,397,electric,69.45,third,2024,expired,individual,73023.48,tier 1
madhya pradesh,29.36,hero,glamour,227568,2022,105,electric,87.57,third,2022,not available,dealer,148291.88,metro
delhi,50.37,ktm,rc 390,197036,2016,986,hybrid,71.9,second,2020,not available,dealer,104145.28,tier 3
tamil nadu,66.35,kawasaki,ninja 300,363149,2016,464,hybrid,92.06,third,2018,expired,individual,206857.8,tier 3
